Page Number,Image Name (HC10-10002_XXX),Date (YYYY-MM-DD),Name of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Monthly Meeting,"Place (Township, County, etc)","Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)","Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Call Number
76,HC10-10002_149,1776-06-24,Cesar,16,21,male,Philadelphia,Philadelphia,"Stephens, Jas","Stephens, James",male,"Roberts, Hugh; Pemberton, Jams","Roberts, Hugh; Pemberton, James","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
77,HC10-10002_152,1776-06-24,Silvy (Silvia),,,female,Philadelphia,Philadelphia,"Stephens, Jas","Stephens, James",male,"Pemberton, Saml","Pemberton, Samuel","Drinker, John","Drinker, John","When the manumission was signed by James Stephens, Silvy was under indenture to Richard Downing of Falls Township, Bucks County until 8/5/1787",HC.PhQ.P480.07.002 (1250/J2.16)
81,HC10-10002_157,1776-07-07,Anne,,,female,Philadelphia,Philadelphia,"Moore, S. P.","Moore, Samuel Preston",male,"Moore, Rachel; Wells, Richard","Moore, Rachel; Wells, Richard","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
78,HC10-10002_154,1776-07-08,Charles,,21,male,Philadelphia,Philadelphia,"Burge, Sam","Burge, Samuel",male,"Pemberton, Saml; Pemberton, Phebe","Pemberton, Samuel; Pemberton, Phebe","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
79,HC10-10002_154,1776-07-08,Thomas Lawrence,36,36,male,Philadelphia,Philadelphia,"Burge, Sam","Burge, Samuel",male,"Pemberton, Saml; Pemberton, Phebe","Pemberton, Samuel; Pemberton, Phebe","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
80,HC10-10002_157,1776-07-08,Ann,60,60,female,Philadelphia,Philadelphia,"Burge, Sam","Burge, Samuel",male,"Pemberton, Saml; Pemberton, Phebe","Pemberton, Samuel; Pemberton, Phebe","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
82,HC10-10002_160,1776-07-29,Peter Miller,23,23,male,Philadelphia,Philadelphia,"Elliott, John Jun","Elliott, John Jr",male,"Jones, Edward; Drinker, Henry","Jones, Edward; Drinker, Henry","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
83,HC10-10002_162,1776-08-15,Charles,5.5,21,male,Philadelphia,Philadelphia,"Wilson, Wm","Wilson, William",male,"Attmore, Caleb; Blake, John","Attmore, Caleb; Blake, John","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
84,HC10-10002_164,1776-08-15,,,,,Philadelphia,Philadelphia,"Pleasants, Saml","Pleasants, Samuel",male,"Gawthrop, Tho; Eldredge, John","Gawthrop, Thomas; Eldredge, John","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
85,HC10-10002_166,1776-09-02,Cesar,,,male,Philadelphia,Philadelphia,"Hudson, Saml; Hudson, Martha","Hudson, Samuel; Hudson, Martha","male, female","Clifton, William","Clifton, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
86,HC10-10002_168,1776-09-02,Ishmael,47,47,male,Philadelphia,Philadelphia,"Flower, Elizabeth; Flower, Mary","Flower, Elizabeth; Flower, Mary","female, female","Roberts, Hugh","Roberts, Hugh","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
89,HC10-10002_173,1776-10-26,Jack,17,21,male,Philadelphia,Philadelphia,"House, Esther","House, Esther",female,"Roberts, Hugh; Benezet, Anthony","Roberts, Hugh; Benezet, Anthony","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
90,HC10-10002_174,1776-12-03,Ann,30,30,female,Philadelphia,Philadelphia,"Moore, Samuel Preston","Moore, Samuel Preston",male,"Fox, Jos; Burge, Saml","Fox, Joseph; Burge, Samuel","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
91,HC10-10002_174,1776-12-03,Jacob,30,30,male,Philadelphia,Philadelphia,"Moore, Samuel Preston","Moore, Samuel Preston",male,"Fox, Jos; Burge, Saml","Fox, Joseph; Burge, Samuel","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
93,HC10-10002_176,1776-12-14,Cyrus,,21,male,Philadelphia,Philadelphia,"Logan, Hannah","Logan, Hannah",female,"Fisher, Thomas; Waln, Nicholas","Fisher, Thomas; Waln, Nicholas","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
95,HC10-10002_179,1776-12-28,Jack (John),35,35,male,Philadelphia,Philadelphia,"Moore, Saml Preston","Moore, Samuel Preston",male,"Fox, Jos; Burge, Saml","Fox, Joseph; Burge, Samuel","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
94,HC10-10002_179,1777-02-10,Phillis,35,35,female,Philadelphia,Philadelphia,"Stephens, Jas","Stephens, James",male,"Saml Pemberton, Abigail Jenkins","Samuel Pemberton, Abigail Jenkins","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
96,HC10-10002_182,1777-02-17,Dick,75,75,male,Philadelphia,Philadelphia,"Burge, Sam","Burge, Samuel",male,"Roberts, Hugh; Bacon, David","Roberts, Hugh; Bacon, David","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
97,HC10-10002_182,1777-02-25,Amy,30,30,female,Philadelphia,Philadelphia,"Biddle, John","Biddle, John",male,"Roberts, Hugh","Roberts, Hugh","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
98,HC10-10002_184,1777-02-25,John (Jack),25,25,male,Philadelphia,Philadelphia,,"Snowden, John",male,,"Lane, William; Trotter, Benjamin; Snowden, William","Drinker, Jno","Drinker, John",Performed in consideration of One Hundred Pounds,HC.PhQ.P480.07.002 (1250/J2.16)
99,HC10-10002_186,1777-04-03,Rose,55,55,female,Philadelphia,Philadelphia,"Mitchell, Abraham","Mitchell, Abraham",male,"Waln, Nicholas; Dawson, William","Waln, Nicholas; Dawson, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
100,HC10-10002_186,1777-04-15,Cato,27,27,male,Philadelphia,Philadelphia,"Paschall, Thos","Paschall, Thomas",male,"Waln, Nicholas; Franklin, Thos","Waln, Nicholas; Franklin, Thomas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
101,HC10-10002_189,1777-05-22,Present,30,30,female,Philadelphia,Reading,,"Richardson, Francis",male,,"Richardson, Joseph, Richardson, Joseph, Jr.","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
103,HC10-10002_195,1777-06-21,"James, Charles, Rachel, Mary, Lucey, Benjamin","8, 6, 9, 9, 8, 6","8, 6, 9, 9, 8, 6","male, female",Philadelphia,Philadelphia,"Moore, Rachel","Moore, Rachel",female,"Hopkins, Richard; Lux, Will","Hopkins, Richard; Lux, Will","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
104,HC10-10002_198,1777-07-23,Ben,18,21,male,Philadelphia,Philadelphia,,"Hopkins, Richard",male,,"Drinker, Henry; Drinker, Elizabeth","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
105,HC10-10002_198,1777-08-06,Nanny,33,33,female,Philadelphia,Philadelphia,"Emlen, Geo","Emlen, George",male,"Wistar, Sarah; Stevenson, Agnes","Wistar, Sarah; Stevenson, Agnes","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
106,HC10-10002_201,1777-08-11,"Tom, Jude",,,"male, female",Philadelphia,,"Marshall, Benj; Marshall, Christopher; Marshall, Charles","Marshall, Benjamin; Marshall, Christopher; Marshall, Charles","male, male, male","Brenner, Andr; Stover, Christian","Brenner, Andrew; Stover, Christian","Drinker, John","Drinker, John","Manumission performed 2-3 years after their father ""verbally gave them their freedom""",HC.PhQ.P480.07.002 (1250/J2.16)
107,HC10-10002_203,1777-08-14,Dinah,11,18,female,Philadelphia,Philadelphia,,"Marshall, Christopher Jr.",male,,"Tybouk, Andrew; Doyle, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
108,HC10-10002_205,1778-01-06,Jeremiah,6,21,male,Philadelphia,Philadelphia,,"Roberts, Robert",male,,"Roberts, Hugh; Roberts, Catherine","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
110,HC10-10002_207,1778-05-10,Moses Moor,25,25,male,Philadelphia,Philadelphia,,"Marshall, Charles",male,"Thos; Fentham, Mary",",Thomas; Fentham, Mary","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
111,HC10-10002_209,1778-06-07,Phillip,22,29,male,Philadelphia,Philadelphia,,"Daniels, John",male,"Richards, Saml; McCrear, Robt","Richards, Samuel; McCrear, Robert","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
112,HC10-10002_211,1778-09-11,Ishmael Miller,28,28,male,Philadelphia,Philadelphia,,"Hudson, Mary",female,,"Hudson, Susanna; Waln, Nicholas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
114,HC10-10002_214,1778-09-21,Elizabeth Timons,25,25,female,Philadelphia,Philadelphia,,"Marshall, Sarah",female,,"Farris, Mary; Massey, Sarah","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
115,HC10-10002_216,1778-11-18,Flora,15,18,female,Philadelphia,Philadelphia,"Stephens, Jas","Stephens, James",male,,"Pancoast, Samuel; Drinker, John","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
116,HC10-10002_218,1778-12-02,Ruth,7,18,female,Philadelphia,Philadelphia,,"Norris, Mary",female,,"Drinker, John; Norris, Isaac","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
118,HC10-10002_220,1779-04-09,"Tom, Chloe, Jacob, Cato, Philip, Tom","30, 30, 15, 5, 3, 1","30, 30, 21, 21, 21, 21","male, female, male, male, male, male",Philadelphia,Philadelphia,"Wishart, Wm","Wishart, William",male,"Wishart, Thos.; Sansom, Samuel","Wishart, Thomas; Sansom, Samuel","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
119,HC10-10002_222,1779-05-12,Daniel,15,21,male,Philadelphia,Philadelphia,,"Dawes, Abijah",male,,"Dawes, Jonathan; Dawes, Edward","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
120,HC10-10002_224,1779-05-18,Dinah Nevill,35,35,female,Philadelphia,Philadelphia,,"Harrison, Thomas",male,"Waln, Nicholas; Waln, Sarah","Waln, Nicholas; Waln, Sarah","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
121,HC10-10002_227,1779-05-18,Bontury Nevill,13,21,male,Philadelphia,Philadelphia,,"Harrison, Thomas",male,"Waln, Nicholas; Waln, Sarah","Waln, Nicholas; Waln, Sarah","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
122,HC10-10002_229,1779-05-18,Jane Nevill,10,18,female,Philadelphia,Philadelphia,,"Harrison, Thomas",male,"Waln, Nicholas; Waln, Sarah","Waln, Nicholas; Waln, Sarah","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
123,HC10-10002_231,1779-06-11,Henry Dow,,,male,Philadelphia,Philadelphia,"Clark, Wm","Clark, William",male,"Carson, Andrew; Lownes, John","Carson, Andrew; Lownes, John","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
124,HC10-10002_231,1779-10-01,Philis,9,18,female,Philadelphia,Philadelphia,"Bolton, Joseph","Bolton, Joseph",male,"Foulke, Saml.; Kirk, Isaiah","Foulke, Samuel; Kirk, Isaiah","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
125,HC10-10002_234,1779-10-01,Ned Simon Morgan,14,21,male,Philadelphia,Philadelphia,,"Bolton, Joseph; Ives, Rachel","male, female","Foulke, Saml.; Kirk, Isaiah","Foulke, Samuel; Kirk, Isaiah","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
126,HC10-10002_236,1780-02-16,"Pompey, Phebe, Lucy, Robert",," , , 21, 21","male, female, female, male",Philadelphia,Philadelphia,,Unnamed heirs of Ann Rogers,,"Jones, Owen","Jones, Owen","Drinker, Jno","Drinker, John",Ann Rogers died intestate. This document manumits the parents but not the children and is witnessed by an attorney? - no signature by heirs,HC.PhQ.P480.07.002 (1250/J2.16)
127,HC10-10002_238,1780-03-13,Ishmael,22,22,male,Philadelphia,Philadelphia,"Mason, Richard","Mason, Richard",male,"Verree, Robert; Verree, James Junr.","Verree, Robert; Verree, James Jr.","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
128,HC10-10002_238,1780-07-25,Joseph,60,60,male,Philadelphia,"Pottstown, Philadelphia",,"Maybury, Thomas",male,"Potts, Joseph; Potts, Isaac","Potts, Joseph; Potts, Isaac","Drinker, John",,,HC.PhQ.P480.07.002 (1250/J2.16)
129,HC10-10002_240,1780-07-25,Paris,30,30,male,Philadelphia,"Pottstown, Philadelphia",,"Maybury, Thomas",male,"Potts, Joseph; Potts, Isaac","Potts, Joseph; Potts, Isaac","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
131,HC10-10002_243,1780-07-25,Jack,40,40,male,Philadelphia,"Pottstown, Philadelphia",,"Maybury, Thomas",male,"Potts, Joseph; Potts, Isaac","Potts, Joseph; Potts, Isaac","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
133,HC10-10002_245,1780-07-25,Primus,32,32,male,Philadelphia,"Pottstown, Philadelphia",,"Maybury, Thomas",male,"Potts, Joseph; Potts, Isaac","Potts, Joseph; Potts, Isaac","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
136,"HC10-10002_253, HC10-10002_252",1780-11-04,Flora,35,35,female,Philadelphia,"Southwark, Philadelphia",,"Call, Ebenezer",male,,"Don, Elijah; Johns, Thomas; Humphreys, Benjamin","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
137,HC10-10002_254,1780-12-11,Richard Edwards,20,21,male,Philadelphia,Philadelphia,,"Howell, Arthur",male,,"Horner, Isaac; Field, John","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
138,HC10-10002_254,1780-12-11,Harry Brown,50,50,male,Philadelphia,Philadelphia,,"Howell, Arthur",male,,"Horner, Isaac; Field, John","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
139,HC10-10002_257,1781-01-24,Hannah,30,30,female,Philadelphia,Philadelphia,,"Maybury, Thomas",male,"Howell, Arthur; Howell, Saml","Howell, Arthur; Howell, Samuel","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
140,HC10-10002_260,1781-03-05,Plug,,,male,Philadelphia,Philadelphia,,"Biddle, Owen",male,,"Biddle, Jenny; Waln, Nicholas","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
141,HC10-10002_262,1781-03-13,Cesar,35,35,male,Philadelphia,Philadelphia,,"Walton, Mary",female,,"Waln, Nicholas; Waln, Sarah","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
142,HC10-10002_264,1781-04-05,Sarah,,,female,Philadelphia,Philadelphia,,"Little, John",male,,"Field, John; Howell, Arthur","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
143,HC10-10002_266,1781-10-22,Richard Lynus,,,male,Philadelphia,Philadelphia,,"Edwards, Elizabeth",female,,"Thomson, Peter; Thomson, Peter Jr.","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
144,HC10-10002_268,1781-11-05,Celia,,,female,Philadelphia,Philadelphia,,"Guillaud, James",male,,,"Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
145,HC10-10002_270,1781-11-10,Hamlet,,,male,Philadelphia,Philadelphia,,"Ingersoll, Jared",male,,,,,,HC.PhQ.P480.07.002 (1250/J2.16)
146,HC10-10002_270,1782-01-04,Cato Clark,,,male,Philadelphia,Providence,,Clark and Nightingale,,,,"Drinker, John","Drinker, John",Freed by company,HC.PhQ.P480.07.002 (1250/J2.16)
147,HC10-10002_272,1782-05-10,Anthony,,,male,Philadelphia,"Ridley, Chester County",,"Hendrickson, Isaac",male,,"Kets, Michael; Kets, John","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
148,HC10-10002_274,1782-06-07,David Giffin,14,21,male,Philadelphia,Philadelphia,,"Cannon, Jane",female,,"Beneset, Anthony; Whiteall, James","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
149,HC10-10002_274,1782-06-26,Lucy,,,female,Philadelphia,,,"Cadwalader, John",male,,,"Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
150,HC10-10002_277,1782-07-04,Rose,23,23,female,Philadelphia,Philadelphia,,"Loyd, Caesar",male,,"Howell, Arthur; Duboios, Henry","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
151,HC10-10002_277,1782-08-28,Lewis,14,21,male,Philadelphia,Philadelphia,"Marbury, Thos","Maybury, Thomas",male,,"Watt, Clener; Mayburry, Rebecca","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
152,HC10-10002_279,1782-08-28,Rose,5,18,female,Philadelphia,Philadelphia,"Marbury, Thos","Maybury, Thomas",male,,"Watt, Clener; Mayburry, Rebecca","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
153,HC10-10002_279,1782-08-28,Peter,19,21,male,Philadelphia,Philadelphia,"Marbury, Thos","Maybury, Thomas",male,,"Watt, Clener; Mayburry, Rebecca","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
154,HC10-10002_281,1782-11-06,Thomas Gray,18,21,male,Philadelphia,Philadelphia,,"Roberts, Richard",male,"Roberts, Robert; Roberts, Hugh Jun.; Garrigan, Samuel Jun.","Roberts, Robert; Roberts, Hugh Jr.; Garrigan, Samuel Jr.","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
155,HC10-10002_283,1782-11-07,"Esther, Peter","15, 8","21, 21","female, male",Philadelphia,Philadelphia,,"Martin, Ennalls",male,"Prichard, Wm.; Delany, Wm.","Prichard, William; Delany, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
156,HC10-10002_286,1782-11-12,Charles,25,25,male,Philadelphia,Bucks County,"Anderson, Joshua","Anderson, Joshua",male,"Hutchinson, Rebecca; Hutchinson, Michael","Hutchinson, Rebecca; Hutchinson, Michael",,,,HC.PhQ.P480.07.002 (1250/J2.16)
157,HC10-10002_288,1782-11-15,William Gans,15,21,male,Philadelphia,Philadelphia,,"Shute, Thomas",male,"Drinker, John; Drinker, Joseph Jun.","Drinker, John; Drinker, Joseph Jr.","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
158,HC10-10002_288,1782-12-21,Cato,27,27,male,Philadelphia,"Southwark, Philadelphia","Nicholson, James","Nicholson, James",male,"David, Jno; Humphreys, B.","David, Jno; Humphreys, B.","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
159,HC10-10002_291,1783-01-09,Rosanna,,,female,Philadelphia,Philadelphia,"Dungan, Elizabeth","Dungan, Elizabeth",female,,"John Drinker, John Thomas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
162,HC10-10002_295,1783-02-06,Chloe,,,female,Philadelphia,Philadelphia,,"Lawrence, William",male,,,"Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
161,HC10-10002_293,1783-03-05,"Dafney, Toby, Gess",,,"female, male, male",Philadelphia,Northern Liberties,"Williams, Danl","Williams, Daniel",male,,,"Drinker, Jno","Drinker, John",Page 169 (image 308) shows Williams manumitting Gess again on 1784-03-05,HC.PhQ.P480.07.002 (1250/J2.16)
163,HC10-10002_298,1783-04-11,Cash Croston,30,30,male,Philadelphia,Northern Liberties,"Britton, Thos; Potts, Joseph","Britton, Thomas; Potts, Joseph",males,"Thomas Fisher, Joseph","Thomas Fisher, Joseph","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
164,HC10-10002_299,1783-04-19,John Maples,36,36,male,Philadelphia,Philadelphia,,"Pyle, John",male,"Lewis, Robt; Brock, Samuel","Lewis, Robert; Brock, Samuel","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
165,HC10-10002_301,1783-05-24,Ruth Green,,,female,Philadelphia,,,"Walker, Richard",male,"Fisher, Thomas; Fisher, Sam H.","Fisher, Thomas; Fisher, Sam H.","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
166,HC10-10002_304,1783-08-30,"Hannah Harrington, Rebecca","40, 3","40, 3",female,Philadelphia,Philadelphia,"Wade, Francis","Wade, Francis",male,"Garriguy, Saml; Price, Philip","Garriguy, Saml; Price, Philip","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
167,HC10-10002_306,1783-10-17,Andrew Brown,39,39,male,Philadelphia,Philadelphia,,"Hudson, Susanna",female,"Benezet, Anthony; Hudson, Mary","Benezet, Anthony; Hudson, Mary","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
168,HC10-10002_308,1784-01-10,Thomas Harrison,33,33,male,Philadelphia,Abington,,"Paul, Jacob",male,,"West, Charles; Fletcher, Thomas","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
169,HC10-10002_308,1784-03-05,Gess,,,male,Philadelphia,Northern Liberties,,"Williams, Daniel",male,,,,,,HC.PhQ.P480.07.002 (1250/J2.16)
170,HC10-10002_311,1784-06-30,"Henny, Nancy, Mary","28, 4, 1.66667",,females,Philadelphia,Philadelphia,"Fitzsimmons, Thos","Fitzsimmons, Thomas",male,"Barclay, John; Starr, John","Barclay, John; Starr, John","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
171,HC10-10002_313,1784-08-02,Robert,12,21,male,Philadelphia,Philadelphia,"Giles, Anna","Giles, Anna",female,"Cleaver, Ezekiel; Verree, Robert","Cleaver, Ezekiel; Verree, Robert","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
172,HC10-10002_313,1784-08-02,Isaac,,21,male,Philadelphia,Philadelphia,"Clifford, Tho; Clifford, John; Giles, Anna; Dawes, Abijah","Clifford, Thomas; Clifford, John; Giles, Anna; Dawes, Abijah","male, male, female, male","Parrish, John; Veree, Robert","Parrish, John; Veree, Robert","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
173,HC10-10002_316,1784-08-02,Charlotte,4,18,female,Philadelphia,Philadelphia,"Clifford, Thomas; Clifford, John; Giles, Anna; Abijah Dawes","Clifford, Thomas; Clifford, John; Giles, Anna; Abijah Dawes","male, male, female, male","Parrish, John; Veree, Robert","Parrish, John; Veree, Robert","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
174,HC10-10002_316,1784-08-02,Jane,11,18,female,Philadelphia,Philadelphia,,"Giles, Anna",female,,"Parrish, John; Veree, Robert","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
175,HC10-10002_318,1784-08-02,Rosetta,5,18,female,Philadelphia,Philadelphia,"Clifford, Thomas; Clifford, John; Giles, Anna; Abijah Dawes","Clifford, Thomas; Clifford, John; Giles, Anna; Abijah Dawes","male, male, female, male",,"Parrish, John; Veree, Robert","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
176,HC10-10002_318,1784-08-02,Joseph,22,22,male,Philadelphia,Philadelphia,"Clifford, Thomas; Clifford, John; Giles, Anna; Abijah Dawes","Clifford, Thomas; Clifford, John; Giles, Anna; Abijah Dawes","male, male, female, male",,"Parrish, John; Veree, Robert","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
177,HC10-10002_320,1784-08-02,George,8,21,male,Philadelphia,Philadelphia,"Clifford, Thomas; Clifford, John; Giles, Anna; Abijah Dawes","Clifford, Thomas; Clifford, John; Giles, Anna; Abijah Dawes","male, male, female, male",,"Parrish, John; Veree, Robert","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
178,HC10-10002_322,1784-09-28,Flora,40,40,female,Philadelphia,Philadelphia,,"Sanderson, Mary",female,"Lewis, Robt; Townsend, John","Lewis, Robert; Townsend, John","Drinker, John",,,HC.PhQ.P480.07.002 (1250/J2.16)
179,HC10-10002_324,1784-11-15,Job,13,21,male,Philadelphia,"Concord, Chester County",,"Yarnall, Peter",male,,"Bringhurst, Joseph; Foulke, Elizabeth","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
180,HC10-10002_326,1784-11-19,Juliet and children,,,female,Philadelphia,,,"de Brahm, John William Gerard",male,,"Clarke, Richard","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
182,HC10-10002_332,1785-05-23,Beulah Lewis,19,19,female,Philadelphia,Philadelphia,,"Lewis, Nathaniel",male,"Murdock, Saml; Wharton, Jhn.","Murdock, Samuel; Wharton, John","Drinker, John","Drinker, John",John Wharton (Witness) as a Justice for the City/County of Philadelphia,HC.PhQ.P480.07.002 (1250/J2.16)
193,HC10-10002_354,1785-07-24,Violet,50,50,female,Philadelphia,Philadelphia,,"Jervis, Rebecca",female,"Wilson, Wm; Elliott, John Jun.","Wilson, William; Elliott, John Jr.","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
190,HC10-10002_348,1785-12-04,Sancho,30,30,male,Philadelphia,Philadelphia,,"Timmons, Ann",female,,"Jacobs, Thomas; Jacobs, Lydia","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
191,HC10-10002_348,1785-12-04,Thomas Harris,17.5,21,male,Philadelphia,Philadelphia,,"Timmons, Ann",female,,"Jacobs, Thomas; Jacobs, Lydia","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
183,HC10-10002_334,1785-12-08,Cassandra (Cassy),12,18,female,Philadelphia,Philadelphia,,"Hopkins, Johns",male,"Howell, Joshua; Howell, Edward Wm.","Howell, Joshua; Howell, Edward William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
184,HC10-10002_336,1785-12-08,Robert (Bob),6,21,male,Philadelphia,Philadelphia,,"Hopkins, Johns",male,"Howell, Joshua; Howell, Edward Wm.","Howell, Joshua; Howell, Edward William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
